IDS_SCENARIO_GAISERIC "盖塞里克 (406)"
IDS_SCENARIO_GAISERIC_HELP_TEXT "盖塞里克 (406-455)：\n预计完成时间：2-3 小时。\n隆冬时节，汪达尔人渡过莱茵河。在贡德里克和盖塞里克两兄弟的率领下，他们踏上了一段大迁徙之旅，从高卢地区的森林跋涉到迦太基的沙漠，甚至到更远的地方。寻找新家园的汪达尔人是否会让罗马帝国走向灭亡？\n\n在此剧本中，你将扮演哥特人。"
IDS_SCENARIO_VORTIGERN "沃蒂根 (440)"
IDS_SCENARIO_VORTIGERN_HELP_TEXT "沃蒂根 (440-500)：\n预计完成时间：1 小时。\n被罗马皇帝遗弃的不列颠孤立无援，周围的一众蛮族虎视眈眈。然而，粗犷的撒克逊战士为不列颠带来了救赎。与新来者达成的协议将拯救不列颠，还是将开创一个新的野蛮时代？\n\n在此剧本中，你将扮演不列颠人。"
IDS_SCENARIO_CHARLEMAGNE "查理曼 (768)"
IDS_SCENARIO_CHARLEMAGNE_HELP_TEXT "查理曼 (768 -814)：\n预计完成时间：2 小时。\n矮子丕平去世后，法兰克王国被他的两个儿子查理曼和卡洛曼瓜分。这两人中只有一人能凭借武力和铁腕成为欧洲最著名、最有影响力的国王。\n\n在此剧本中，你将扮演法兰克人。"
IDS_SCENARIO_RAGNAR "拉格纳 (850)"
IDS_SCENARIO_RAGNAR_HELP_TEXT "拉格纳·洛德布罗克 (公元 9 世纪)：\n预计完成时间：4-6 小时。\n歌者歌颂过众多维京英雄，但最著名的莫过于拉格纳·洛德布罗克。这位维京国王从默默无闻到一统北方，激励着异教徒大军。拉格纳能否再次扬帆起航，成为一代传奇？\n\n在此剧本中，你将扮演维京人。"
IDS_SCENARIO_IRONSIDE "艾恩赛德 (859)"
IDS_SCENARIO_IRONSIDE_HELP_TEXT "比约恩·艾恩赛德 (859 -861)：\n预计完成时间：2 小时。\n比约恩·艾恩赛德不愿生活在父亲拉格纳·洛德布罗克的光环下，立志超越父亲的斐然成就。859 年，他穿越直布罗陀海峡，进入“无潮海”，掠夺那些维京人从未征伐过的富饶城市。比约恩和维京人会受到歌者的歌颂，还是会被地中海吞噬？\n\n在此剧本中，你将扮演维京人。"
IDS_SCENARIO_FINEHAIR "金发 (870)"
IDS_SCENARIO_FINEHAIR_HELP_TEXT "“金发”哈拉尔 (870-932)：\n预计完成时间：2 小时。\n“金发”哈拉尔是挪威东南部一个小地方的小国王。哈拉尔有一位实力强大的对手，而他想与这位对手的女儿吉达联姻，但吉达对他的求婚不屑一顾。她说，他必须成为整个挪威的国王，她才会嫁给他。此番言论能让挪威王国实现大一统吗？\n\n在此剧本中，你将扮演维京人。"
IDS_SCENARIO_ROBERT "罗伯特 (921)"
IDS_SCENARIO_ROBERT_HELP_TEXT "纽斯特利亚的罗伯特 (921-923)：\n预计完成时间：2 小时。\n纽斯特利亚的罗伯特下决心成为国王，因为他的土地先是被一位昏君侵占，又被四处掠夺的维京人抢夺。自立国王一事并非没有先例，三十年前，罗伯特的兄弟在法兰克公爵的支持下推翻了一位国王。罗伯特能重现历史吗？\n\n在此剧本中，你将扮演法兰克人。"
IDS_SCENARIO_OTTO "奥托 (936)"
