// overflow areas start at 449000, with 100 lines for each scenario starting at 
// 449000 + (scenarioNo - 1) * 100

//
// Scenario One
//

444000 "<ORANGE>阿尔塔弗涅斯：啊，攻城营地里臭气熏天。把这些补给都运到前线去吧。"
444001 "<PURPLE>大流士国王：阿尔塔弗涅斯，你在后勤方面很有天赋。"
444002 "<ORANGE>阿尔塔弗涅斯：就是个赶骡人。和波斯大王称兄道弟真是光荣又好处多多啊。"
444003 "<PURPLE>大流士国王：我们只算半个兄弟。没有我，你怎会拥有如今的权势。注意了：最后的进攻即将开始。"
444004 "<PURPLE>大流士国王：我们只算半个兄弟。没有我，你怎会拥有如今的权势。现在，我要给你下达另一个任务：带着这些东西去贿赂巴比伦的雇佣兵，确保他们不会给我们添麻烦。"
444005 "<ORANGE>阿尔塔弗涅斯：这辆车上装满了珠宝和黄金酒碗，足够让你成为任何一座城镇的首富。等时机一到，希望你的人能回报这笔财富的主人，明白吗？"
444006 "<PURPLE>大流士国王：干得好，小兄弟，来的正是时候，我们的工兵即将摧毁这道用青金石砌的城墙。"
444007 "<ORANGE>达提斯：大人，巴比伦人突然袭击我们的攻城武器了！"
444008 "<PURPLE>大流士国王：真是狗胆包天！你发现的很及时，将军，保护工兵！"
444009 "<ORANGE>达提斯：他们再次如潮水般涌来，兄弟们，坚持住！"
444010 "<ORANGE>达提斯：他们摧毁了一条隧道！"
444011 "<ORANGE>达提斯：有一条隧道坍塌了！"
444012 "<ORANGE>达提斯：他们摧毁了我们的一条隧道！"
444013 "<PURPLE>大流士国王：看见了吗，巴比伦人，马杜克抛弃了你们！你们的城墙不过是风一吹就散的沙子。达提斯，我最信赖的将军，我赐予你统领这次进攻的荣耀。"
444014 "<PURPLE>大流士国王：利用这些金达里克去贿赂关键人物。"
444015 "<PURPLE>大流士国王：这些贪婪的巴比伦人抵抗不了黄金的诱惑，即便是他们的驻军指挥官也不行。"
444016 "<ORANGE>达提斯：兄弟们，进城！摧毁他们的指挥哨。"
444017 "<PURPLE>大流士国王：干得好，达提斯。接下来由我的骑兵接管这里的一切。"
444018 "<ORANGE>达提斯：埋伏！有埋伏！撤退！"
444019 "<PURPLE>大流士国王：该死！工程师，不管用什么办法，务必把这条碍事的河流改道，我们要直接走过去！"
444020 "<ORANGE>达提斯：兄弟们，我们出发了！弓箭朝上，直取皇宫！"
444021 "<GREY>雇佣兵队长：小伙子们，去支援波斯人，一切都已安排妥当。"
444022 "<GREY>雇佣兵队长：计划有变，小伙子们，现在你们是波斯雇佣兵了。"
